Atom number: 0 
number of functions: 12
0 0.06927052 1861.0916331 201.94630426246215
0 0.1783505 642.9939764 91.0050034712799
0 0.5391459 235.1105725 42.79216027235321
0 1.34220933 90.7028894 20.947197802874577
0 2.13839132 36.7794552 10.644225366933398
0 1.81446949 15.6046273 5.595644851503858
0 0.24526264 6.8907294 3.0311608903618095
0 0.14633524 3.147885 -1.6843185659365103
0 0.15242587 1.4777287 0.9552259746167155
0 0.43269841 0.7076466 0.54988568060601
0 0.1245583 0.3430122 0.3194421847561347
0 0.03476461 0.1669453 0.18614044160090212
