Atom number: 0 
number of functions: 14
0 0.62947533 7402.6405628 568.7875598025535
0 1.04774919 2444.3806296 247.76315197594624
0 3.5018585 1031.0485275 129.6789310615813
0 7.88611072 387.5215861 62.24894802546478
0 9.29824293 159.3342518 31.962589066731116
0 3.62253522 72.5438912 17.715798320084602
0 1.15209684 29.2976155 -8.97499671966167
0 2.92303926 13.1685047 4.926771716165324
0 4.90825116 6.4235268 2.8756779510992794
0 1.26928452 3.1479365 1.684339232724391
0 0.55385943 1.4941282 -0.9631656578723533
0 0.45158615 0.6745215 0.5304652510946215
0 0.32980284 0.3252877 0.3069805243309288
0 0.06493879 0.1527285 0.17412060081168126
